pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,1.7825394,None,0,0,0,0,,,,,0.0137412,,0.0102328,0.0137412,1.0081853,1.0081853,1.0081853,1.0081853,1.0251449,2.0080593,2.0080593,3.9660861,x,1,1.7825394,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,1,1,0,v,1,1.1179748,None,0,1,1,1,,,,,3.9698521,,3.9664918,3.9698521,4.9753921,4.9753921,4.9753921,4.9753921,4.9753921,5.9751957,5.9751957,7.1095401,v,1,1.1179748,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,2,2,0,c,1,0.9038,None,0,2,2,2,,,,,7.1250562,,7.1101368,7.1250562,8.1253482,8.1253482,8.1253482,8.1253482,8.1253482,9.1250934,9.1250934,10.04248,c,1,0.9038,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,3,3,0,z,1,2.2789327,None,0,3,3,3,,,,,10.0583588,,10.0435152,10.0583588,11.0419864,11.0419864,11.0419864,11.0419864,11.0584365,12.0419004,12.0419004,14.3257772,z,1,2.2789327,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,4,0,1,c,0,0.3735276,None,1,0,4,0,,,,,14.3417473,,14.3264424,14.3417473,15.3250351,15.3250351,15.3250351,15.3250351,15.3420034,16.325334,16.325334,16.7096989,c,0,0.3735276,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,5,1,1,v,1,1.0946751,None,1,1,5,1,,,,,16.7253536,,16.710268,16.7253536,17.7252874,17.7252874,17.7252874,17.7252874,17.7252874,18.7253589,18.7253589,19.8253844,v,1,1.0946751,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,6,2,1,v,0,1.0405762,None,1,2,6,2,,,,,19.8415009,,19.8260481,19.8415009,20.8252729,20.8252729,20.8252729,20.8252729,20.8418859,21.8253896,21.8253896,22.8759983,v,0,1.0405762,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,7,3,1,z,1,1.180687,None,1,3,7,3,,,,,22.892187,,22.8767831,22.892187,23.8917701,23.8917701,23.8917701,23.8917701,23.8917701,24.8915925,24.8915925,26.0762708,z,1,1.180687,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,8,0,2,x,1,0.8922497,None,2,0,8,0,,,,,26.0919049,,26.077011,26.0919049,27.0918468,27.0918468,27.0918468,27.0918468,27.0918468,28.0917851,28.0917851,28.9929137,x,1,0.8922497,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,9,1,2,v,1,0.8663923,None,2,1,9,1,,,,,29.0088032,,28.9934262,29.0088032,30.0083208,30.0083208,30.0083208,30.0083208,30.0083208,31.0084053,31.0084053,31.8762135,v,1,0.8663923,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,10,2,2,c,1,0.6918584,None,2,2,10,2,,,,,31.891758,,31.877098,31.891758,32.8920367,32.8920367,32.8920367,32.8920367,32.8920367,33.8918808,33.8918808,34.5922267,c,1,0.6918584,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,11,3,2,z,1,0.5559565,None,2,3,11,3,,,,,34.607996,,34.5928229,34.607996,35.5919795,35.5919795,35.5919795,35.5919795,35.6085669,36.5920532,36.5920532,37.1590565,z,1,0.5559565,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,12,0,3,x,1,0.6188737,None,3,0,12,0,,,,,37.1754626,,37.1596529,37.1754626,38.1584261,38.1584261,38.1584261,38.1584261,38.1751751,39.1584322,39.1584322,39.7927258,x,1,0.6188737,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,13,1,3,v,1,0.6769863,None,3,1,13,1,,,,,39.8084879,,39.7932979,39.8084879,40.7920635,40.7920635,40.7920635,40.7920635,40.8086645,41.7918723,41.7918723,42.4760266,v,1,0.6769863,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,14,2,3,c,1,0.8822518,None,3,2,14,2,,,,,42.4920271,,42.4767936,42.4920271,43.4919399,43.4919399,43.4919399,43.4919399,43.4919399,44.475095,44.475095,45.3594591,c,1,0.8822518,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,15,3,3,z,1,0.3926866,None,3,3,15,3,,,,,45.3752827,,45.3607735,45.3752827,46.358527,46.358527,46.358527,46.358527,46.3752589,47.3752147,47.3752147,47.7762441,z,1,0.3926866,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,16,0,4,x,1,0.7232182,None,4,0,16,0,,,,,47.7918685,,47.776968,47.7918685,48.7914311,48.7914311,48.7914311,48.7914311,48.7914311,49.7918841,49.7918841,50.525862,x,1,0.7232182,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,17,1,4,v,1,0.5774501,None,4,1,17,1,,,,,50.5419516,,50.5265591,50.5419516,51.5413606,51.5413606,51.5413606,51.5413606,51.5413606,52.525105,52.525105,53.1090808,v,1,0.5774501,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,18,2,4,c,1,0.6666373,None,4,2,18,2,,,,,53.1251728,,53.1096777,53.1251728,54.1086116,54.1086116,54.1086116,54.1086116,54.1251268,55.1085277,55.1085277,55.776531,c,1,0.6666373,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,19,3,4,z,1,0.6215445,None,4,3,19,3,,,,,55.7916481,,55.7772808,55.7916481,56.791789,56.791789,56.791789,56.791789,56.791789,57.7918881,57.7918881,58.4259726,z,1,0.6215445,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,20,0,5,x,1,0.5559156,None,5,0,20,0,,,,,58.4420268,,58.4265404,58.4420268,59.4252286,59.4252286,59.4252286,59.4252286,59.4419647,60.4253064,60.4253064,60.9928106,x,1,0.5559156,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,21,1,5,v,1,0.9679769,None,5,1,21,1,,,,,61.0084424,,60.9933784,61.0084424,61.9918917,61.9918917,61.9918917,61.9918917,62.0083707,62.9918661,62.9918661,63.9764204,v,1,0.9679769,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,22,2,5,c,1,0.4331543,None,5,2,22,2,,,,,63.991858,,63.977229,63.991858,64.9918441,64.9918441,64.9918441,64.9918441,64.9918441,65.9918213,65.9918213,66.4258946,c,1,0.4331543,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,23,3,5,z,1,0.4037028,None,5,3,23,3,,,,,66.4417862,,66.4265494,66.4417862,67.4252517,67.4252517,67.4252517,67.4252517,67.4419533,68.4412991,68.4412991,68.8590908,z,1,0.4037028,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,24,0,6,x,1,0.5602152,None,6,0,24,0,,,,,68.8752189,,68.8596567,68.8752189,69.858837,69.858837,69.858837,69.858837,69.8752457,70.8584656,70.8584656,71.4260716,x,1,0.5602152,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,25,1,6,v,1,0.6747408,None,6,1,25,1,,,,,71.4418242,,71.4267742,71.4418242,72.4253434,72.4253434,72.4253434,72.4253434,72.4420022,73.4253502,73.4253502,74.1093115,v,1,0.6747408,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,26,2,6,c,1,0.6964888,None,6,2,26,2,,,,,74.1251509,,74.1099454,74.1251509,75.1086199,75.1086199,75.1086199,75.1086199,75.1250288,76.1083034,76.1083034,76.8093188,c,1,0.6964888,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,27,3,6,z,1,0.4719492,None,6,3,27,3,,,,,76.8252073,,76.8098978,76.8252073,77.8086735,77.8086735,77.8086735,77.8086735,77.8253124,78.8085191,78.8085191,79.2927973,z,1,0.4719492,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,28,0,7,x,1,0.6173495,None,7,0,28,0,,,,,79.3083322,,79.2934242,79.3083322,80.3086947,80.3086947,80.3086947,80.3086947,80.3086947,81.3087337,81.3087337,81.9427133,x,1,0.6173495,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,29,1,7,v,1,0.5044881,None,7,1,29,1,,,,,81.9584174,,81.9432254,81.9584174,82.9584541,82.9584541,82.9584541,82.9584541,82.9584541,83.9418014,83.9418014,84.4594079,v,1,0.5044881,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,30,2,7,c,1,0.4446117,None,7,2,30,2,,,,,84.4752134,,84.4599715,84.4752134,85.4582762,85.4582762,85.4582762,85.4582762,85.4751186,86.4586176,86.4586176,86.9094191,c,1,0.4446117,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,31,3,7,z,1,0.3978466,None,7,3,31,3,,,,,86.9253138,,86.9099658,86.9253138,87.9085854,87.9085854,87.9085854,87.9085854,87.9255507,88.9086942,88.9086942,89.3091653,z,1,0.3978466,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,32,0,8,x,1,0.736233,None,8,0,32,0,,,,,89.3255788,,89.3097494,89.3255788,90.308477,90.308477,90.308477,90.308477,90.3251722,91.308725,91.308725,92.0589601,x,1,0.736233,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,33,1,8,v,1,0.4900335,None,8,1,33,1,,,,,92.0752021,,92.0595725,92.0752021,93.0586434,93.0586434,93.0586434,93.0586434,93.0754386,94.0585858,94.0585858,94.5593761,v,1,0.4900335,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,34,2,8,c,1,0.5706627,None,8,2,34,2,,,,,94.5751814,,94.559984,94.5751814,95.5591183,95.5591183,95.5591183,95.5591183,95.5751538,96.5584755,96.5584755,97.1428808,c,1,0.5706627,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,35,3,8,z,1,0.5649292,None,8,3,35,3,,,,,97.158583,,97.143733,97.158583,98.1585023,98.1585023,98.1585023,98.1585023,98.1585023,99.1585187,99.1585187,99.7263261,z,1,0.5649292,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,36,0,9,x,1,0.5490455,None,9,0,36,0,,,,,99.7418368,,99.7271723,99.7418368,100.7421548,100.7421548,100.7421548,100.7421548,100.7421548,101.7419867,101.7419867,102.2928019,x,1,0.5490455,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,37,1,9,v,1,0.497027,None,9,1,37,1,,,,,102.3083947,,102.2934503,102.3083947,103.308204,103.308204,103.308204,103.308204,103.308204,104.2918189,104.2918189,104.7927486,v,1,0.497027,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,38,2,9,x,0,0.6998433,None,9,2,38,2,,,,,104.8087004,,104.7932857,104.8087004,105.7920716,105.7920716,105.7920716,105.7920716,105.8082617,106.8085124,106.8085124,107.5095378,x,0,0.6998433,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,39,3,9,z,1,0.4206834,None,9,3,39,3,,,,,107.5252665,,107.5103604,107.5252665,108.5250923,108.5250923,108.5250923,108.5250923,108.5250923,109.525672,109.525672,109.9601,z,1,0.4206834,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,40,0,10,x,1,0.5450012,None,10,0,40,0,,,,,109.9752331,,109.9608932,109.9752331,110.9752471,110.9752471,110.9752471,110.9752471,110.9752471,111.9753638,111.9753638,112.5262992,x,1,0.5450012,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,41,1,10,v,1,0.4668465,None,10,1,41,1,,,,,112.5418268,,112.5271788,112.5418268,113.5418493,113.5418493,113.5418493,113.5418493,113.5418493,114.5418094,114.5418094,115.0097137,v,1,0.4668465,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,42,2,10,c,1,0.509929,None,10,2,42,2,,,,,115.0252645,,115.0105292,115.0252645,116.0253779,116.0253779,116.0253779,116.0253779,116.0253779,117.0252222,117.0252222,117.54286,c,1,0.509929,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,43,3,10,z,1,0.5892352,None,10,3,43,3,,,,,117.5586509,,117.5435775,117.5586509,118.5585314,118.5585314,118.5585314,118.5585314,118.5585314,119.5419531,119.5419531,120.1427945,z,1,0.5892352,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,44,0,11,x,1,0.5502197,None,11,0,44,0,,,,,120.1584432,,120.143344,120.1584432,121.1582265,121.1582265,121.1582265,121.1582265,121.1582265,122.1416396,122.1416396,122.6928604,x,1,0.5502197,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,45,1,11,v,1,0.4144134,None,11,1,45,1,,,,,122.708633,,122.6934029,122.708633,123.7084473,123.7084473,123.7084473,123.7084473,123.7084473,124.7083557,124.7083557,125.1260923,v,1,0.4144134,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,46,2,11,c,1,0.5554673,None,11,2,46,2,,,,,125.1419159,,125.1266837,125.1419159,126.1419439,126.1419439,126.1419439,126.1419439,126.1419439,127.1252522,127.1252522,127.6928697,c,1,0.5554673,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,47,3,11,z,1,0.3403532,None,11,3,47,3,,,,,127.7084491,,127.6934861,127.7084491,128.7085038,128.7085038,128.7085038,128.7085038,128.7085038,129.691715,129.691715,130.0425639,z,1,0.3403532,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,48,0,12,x,1,0.3694848,None,12,0,48,0,,,,,130.0584042,,130.0431285,130.0584042,131.0419364,131.0419364,131.0419364,131.0419364,131.0584934,132.0417977,132.0417977,132.4262763,x,1,0.3694848,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,49,1,12,v,1,0.4468999,None,12,1,49,1,,,,,132.441829,,132.4269186,132.441829,133.4418139,133.4418139,133.4418139,133.4418139,133.4418139,134.4418693,134.4418693,134.8927707,v,1,0.4468999,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,50,2,12,c,1,0.3406199,None,12,2,50,2,,,,,134.9085854,,134.8934885,134.9085854,135.9084712,135.9084712,135.9084712,135.9084712,135.9084712,136.9087254,136.9087254,137.2596664,c,1,0.3406199,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-150,z,51,3,12,z,1,0.6392951,None,12,3,51,3,,,,,137.275008,,137.2604421,137.275008,138.2752271,138.2752271,138.2752271,138.2752271,138.2752271,139.275431,139.275431,139.9260428,z,1,0.6392951,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
-50,x,52,0,13,x,1,0.3171235,None,13,0,52,0,,,,,139.9419826,,139.9266296,139.9419826,140.9252648,140.9252648,140.9252648,140.9252648,140.9421768,141.9255969,141.9255969,142.2591889,x,1,0.3171235,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
150,v,53,1,13,v,1,0.2974241,None,13,1,53,1,,,,,142.2752961,,142.2599782,142.2752961,143.2584934,143.2584934,143.2584934,143.2584934,143.275108,144.2584966,144.2584966,144.5594383,v,1,0.2974241,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
50,c,54,2,13,c,1,0.6342724,None,13,2,54,2,,,,,144.575087,,144.5599918,144.575087,145.5582814,145.5582814,145.5582814,145.5582814,145.5754072,146.5753129,146.5753129,147.2258685,c,1,0.6342724,None,,,,,662741,1,2025-10-02_14h52.53.010,untitled,,2025.1.1,59.85919919,2025-10-02 14h52.55.474713 +0530
