study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
board,0,0,0,1.055555556,1.8289578,,,,,,,,,,,,0,0,0,4,,,,,0.0251608,,0.0171396,0.0251608,0.0251608,1.8625834,1.055555556,1.8289578,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
Cruise,1,1,0,4.977777778,2.7129036,,,,,,,,,,,,0,1,1,11,,,,,1.878091,,1.8683706,1.878091,1.878091,4.5970186,4.977777778,2.7129036,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
Poster,2,2,0,1.085185185,1.3244769,,,,,,,,,,,,0,2,2,14,,,,,4.61809,,4.6067098,4.61809,4.61809,5.9467596,1.085185185,1.3244769,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
Case,3,3,0,1.085185185,0.7452039,,,,,,,,,,,,0,3,3,10,,,,,5.9648023,,5.9520466,5.9648023,5.9648023,6.7132857,1.085185185,0.7452039,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
marble,4,4,0,1.085185185,0.7083619,,,,,,,,,,,,0,4,4,3,,,,,6.7351164,,6.7227541,6.7351164,6.7351164,7.4469205,1.085185185,0.7083619,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
Chart,5,5,0,1.085185185,0.6416508,,,,,,,,,,,,0,5,5,6,,,,,7.4668505,,7.4557943,7.4668505,7.4668505,8.1131682,1.085185185,0.6416508,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
T-shirt,6,6,0,1.085185185,0.6898078,,,,,,,,,,,,0,6,6,7,,,,,8.1365724,,8.1242252,8.1365724,8.1365724,8.8300496,1.085185185,0.6898078,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
Keys,7,7,0,1.085185185,0.5735609,,,,,,,,,,,,0,7,7,13,,,,,8.8521786,,8.8408941,8.8521786,8.8521786,9.4297789,1.085185185,0.5735609,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
mouse,8,8,0,1.085185185,0.6803868,,,,,,,,,,,,0,8,8,8,,,,,9.4475408,,9.4346515,9.4475408,9.4475408,10.130199,1.085185185,0.6803868,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
cushion,9,9,0,1.085185185,0.7256937,,,,,,,,,,,,0,9,9,1,,,,,10.151086,,10.1383559,10.151086,10.151086,10.8800091,1.085185185,0.7256937,,,,,,,,,,,,,,,Partcipant-4,1,2025-10-13_21h38.20.398,untitled,,2025.1.1,60.06301812,2025-10-13 21h38.28.850913 +0530
