delay,condition,textbox.text,,,,
0.7,exp,300,,,,
0.7,exp,500,,,,
0.1,exp,600,,,,
0.1,exp,700,,exp,793.1666667,
0.1,exp,700,,unexp,150.5,
0.4,exp,600,,,,
0.7,exp,500,,difference,,642.6666667
0.1,exp,700,,,,
0.4,exp,800,,,,
0.4,exp,600,,,,
0.4,exp,700,,,,
0.7,exp,400,,,,
0.4,exp,700,,,,
0.4,exp,800,,,,
0.4,exp,900,,,,
0.7,exp,800,,,,
0.1,exp,700,,,,
0.7,exp,700,,,,
0.1,exp,700,,,,
0.7,exp,800,,,,
0.4,exp,800,,,,
0.1,exp,900,,,,
0.7,exp,900,,,,
0.1,exp,900,,,,
0.4,exp,900,,,,
0.1,exp,800,,,,
0.4,exp,800,,,,
0.4,exp,900,,,,
0.4,exp,700,,,,
0.7,exp,700,,,,
0.1,exp,900,,,,
0.1,exp,900,,,,
0.7,exp,900,,,,
0.7,exp,900,,,,
0.7,exp,900,,,,
0.1,exp,900,,,,
0.1,exp,800,,,,
0.7,exp,800,,,,
0.1,exp,800,,,,
0.7,exp,800,,,,
0.1,exp,900,,,,
0.7,exp,800,,,,
0.4,exp,800,,,,
0.4,exp,900,,,,
0.1,exp,900,,,,
0.7,exp,900,,,,
0.4,exp,900,,,,
0.4,exp,900,,,,
0.1,exp,800,,,,
0.7,exp,700,,,,
0.7,exp,700,,,,
0.4,exp,800,,,,
0.4,exp,800,,,,
0.4,exp,800,,,,
0.1,exp,900,,,,
0.1,exp,900,,,,
0.7,exp,900,,,,
0.7,exp,700,,,,
0.4,exp,900,,,,
0.1,exp,600,,,,
0.7,exp,600,,,,
0.4,exp,800,,,,
0.1,exp,850,,,,
0.7,exp,900,,,,
0.7,exp,800,,,,
0.1,exp,800,,,,
0.1,exp,800,,,,
0.7,exp,800,,,,
0.4,exp,900,,,,
0.4,exp,700,,,,
0.4,exp,800,,,,
0.1,exp,900,,,,
0.1,exp,800,,,,
0.7,exp,700,,,,
0.7,exp,500,,,,
0.4,exp,800,,,,
0.4,exp,500,,,,
0.7,exp,800,,,,
0.1,exp,700,,,,
0.4,exp,900,,,,
0.7,exp,900,,,,
0.1,exp,900,,,,
0.1,exp,900,,,,
